"","ID","SID","Sample.Name","SRep","MRep","Section","Genus","Species","Sub_Spec","Latitude","Longitude","Group","Location","Date"
"1","Arr_ACo_Qcoc_01","co_B_A_1_01","Arr_ACo_Qcoc_01_ATR_01","1","01","Ilex","Quercus","coccifera","coccifera",38.46075,-9.01065,"Arrabida","Arrabida Coast",2018-04-06
"2","Arr_ACo_Qcoc_01","co_B_A_1_02","Arr_ACo_Qcoc_01_ATR_02","1","02","Ilex","Quercus","coccifera","coccifera",38.46075,-9.01065,"Arrabida","Arrabida Coast",2018-04-06
"3","Arr_ACo_Qcoc_01","co_B_A_1_03","Arr_ACo_Qcoc_01_ATR_03","1","03","Ilex","Quercus","coccifera","coccifera",38.46075,-9.01065,"Arrabida","Arrabida Coast",2018-04-06
"4","Arr_ACo_Qcoc_02","co_B_A_2_01","Arr_ACo_Qcoc_02_ATR_01","2","01","Ilex","Quercus","coccifera","coccifera",38.48427,-8.97325,"Arrabida","Arrabida Coast",2018-04-09
"5","Arr_ACo_Qcoc_02","co_B_A_2_02","Arr_ACo_Qcoc_02_ATR_02","2","02","Ilex","Quercus","coccifera","coccifera",38.48427,-8.97325,"Arrabida","Arrabida Coast",2018-04-09
"6","Arr_ACo_Qcoc_02","co_B_A_2_03","Arr_ACo_Qcoc_02_ATR_03","2","03","Ilex","Quercus","coccifera","coccifera",38.48427,-8.97325,"Arrabida","Arrabida Coast",2018-04-09
"7","Arr_ACo_Qcoc_03","co_B_A_3_01","Arr_ACo_Qcoc_03_ATR_01","3","01","Ilex","Quercus","coccifera","coccifera",38.48992,-8.94016,"Arrabida","Arrabida Coast",2018-04-06
"8","Arr_ACo_Qcoc_03","co_B_A_3_02","Arr_ACo_Qcoc_03_ATR_02","3","02","Ilex","Quercus","coccifera","coccifera",38.48992,-8.94016,"Arrabida","Arrabida Coast",2018-04-06
"9","Arr_ACo_Qcoc_03","co_B_A_3_03","Arr_ACo_Qcoc_03_ATR_03","3","03","Ilex","Quercus","coccifera","coccifera",38.48992,-8.94016,"Arrabida","Arrabida Coast",2018-04-06
"10","Arr_ACo_Qcoc_05","co_B_A_5_01","Arr_ACo_Qcoc_05_ATR_01","5","01","Ilex","Quercus","coccifera","coccifera",38.48389,-8.97459,"Arrabida","Arrabida Coast",2018-04-09
"11","Arr_ACo_Qcoc_05","co_B_A_5_02","Arr_ACo_Qcoc_05_ATR_02","5","02","Ilex","Quercus","coccifera","coccifera",38.48389,-8.97459,"Arrabida","Arrabida Coast",2018-04-09
